ID_EMPRESA;ID_ALMOX;DATA_INICIAL;COD_PRODUTO;SALDO
1;36;01/01/1990 00:00;02782          ;0
1;36;01/01/1990 00:00;02790;0
1;36;01/01/1990 00:00;02837          ;0
1;36;01/01/1990 00:00;02883          ;0
1;36;01/01/1990 00:00;02911          ;0
1;36;01/01/1990 00:00;02915          ;0
1;36;01/01/1990 00:00;02940          ;0
1;36;01/01/1990 00:00;02941          ;0
1;36;01/01/1990 00:00;02957          ;0
1;36;01/01/1990 00:00;02960          ;0
1;36;01/01/1990 00:00;03093          ;0
1;36;01/01/1990 00:00;03108          ;0
1;36;01/01/1990 00:00;03124          ;0
1;36;01/01/1990 00:00;03125          ;0
1;36;01/01/1990 00:00;03150          ;0
1;36;01/01/1990 00:00;03152          ;0
1;36;01/01/1990 00:00;03155          ;0
1;36;01/01/1990 00:00;03172          ;0
1;36;01/01/1990 00:00;03222          ;0
1;36;01/01/1990 00:00;03252          ;0
1;36;01/01/1990 00:00;03255          ;0
1;36;01/01/1990 00:00;03257          ;0
1;36;01/01/1990 00:00;03258          ;0
1;36;01/01/1990 00:00;03268          ;0
1;36;01/01/1990 00:00;03290          ;0
1;36;01/01/1990 00:00;03294          ;0
1;36;01/01/1990 00:00;03295          ;0
1;36;01/01/1990 00:00;03296          ;0
1;36;01/01/1990 00:00;03367          ;0
1;36;01/01/1990 00:00;03387          ;0
1;36;01/01/1990 00:00;03390          ;0
1;36;01/01/1990 00:00;03396          ;0
1;36;01/01/1990 00:00;03429          ;0
1;36;01/01/1990 00:00;03430          ;0
1;36;01/01/1990 00:00;03432          ;0
1;36;01/01/1990 00:00;03435          ;0
1;36;01/01/1990 00:00;03447          ;0
1;36;01/01/1990 00:00;03451          ;0
1;36;01/01/1990 00:00;03456          ;0
1;36;01/01/1990 00:00;03459          ;0
1;36;01/01/1990 00:00;03461          ;0
1;36;01/01/1990 00:00;03462          ;0
1;36;01/01/1990 00:00;03469          ;0
1;36;01/01/1990 00:00;03472          ;0
1;36;01/01/1990 00:00;03490          ;0
1;36;01/01/1990 00:00;03494          ;0
1;36;01/01/1990 00:00;03581          ;0
1;36;01/01/1990 00:00;03666          ;0
1;36;01/01/1990 00:00;03671          ;0
1;36;01/01/1990 00:00;03715          ;0
1;36;01/01/1990 00:00;03719          ;0
1;36;01/01/1990 00:00;03733          ;0
1;36;01/01/1990 00:00;03740          ;0
1;36;01/01/1990 00:00;03745          ;0
1;36;01/01/1990 00:00;04053          ;0
1;36;01/01/1990 00:00;04055          ;0
1;36;01/01/1990 00:00;04069          ;0
1;36;01/01/1990 00:00;04098          ;0
1;36;01/01/1990 00:00;04103          ;0
1;36;01/01/1990 00:00;04113          ;0
1;36;01/01/1990 00:00;04186          ;0
1;36;01/01/1990 00:00;04187          ;0
1;36;01/01/1990 00:00;04188          ;0
1;36;01/01/1990 00:00;04189          ;0
1;36;01/01/1990 00:00;04191          ;0
1;36;01/01/1990 00:00;04193          ;0
1;36;01/01/1990 00:00;04198          ;0
1;36;01/01/1990 00:00;04199          ;0
1;36;01/01/1990 00:00;04201          ;0
1;36;01/01/1990 00:00;04203          ;0
1;36;01/01/1990 00:00;04204          ;0
